number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price
3,4,4080,217697,2,0,3,3,10,4080,0,2000,0,122023,52.4904,-114.329,2710,217790,3,76,900000
4,2,2310,9800,1,0,0,3,8,1780,530,1968,0,122010,52.8957,-114.368,2310,9800,2,61,561500
3,2,1800,2792,2,0,0,3,8,1800,0,2011,0,122064,52.7742,-114.561,1580,2617,2,57,379900
3,2,3020,43560,2,0,0,3,10,2720,300,1969,0,122049,52.8756,-114.363,3910,43560,3,63,955000
4,3,1810,8677,2,0,0,3,7,1810,0,1962,0,122043,52.5968,-114.5,1740,8677,2,71,208000
6,2,1930,8400,1,0,0,3,7,1030,900,1971,0,122052,52.7169,-114.53,1780,9520,1,64,175000
3,2,2940,4799,1,0,0,3,9,1710,1230,1996,0,122010,52.8981,-114.374,2540,4616,3,51,589000
4,2,2070,7200,1,0,0,5,8,1390,680,1977,0,122010,52.927,-114.359,2110,8400,3,62,625000
3,1,2150,7007,1,0,0,3,6,2150,0,1954,0,122050,52.9915,-114.552,1720,9000,2,59,300000
2,2,980,1296,2,0,0,3,7,840,140,2001,0,122038,52.9375,-114.526,1100,1228,1,78,260000
4,2,2130,4750,2,0,0,3,8,2130,0,2009,0,122046,52.6624,-114.374,2130,4071,1,67,370000
2,1,1500,3420,1,0,0,3,7,1500,0,1902,0,122028,52.891,-114.528,2050,3420,1,76,480000
3,2,2010,7447,2,0,0,3,8,2010,0,1985,0,122058,52.977,-114.438,2230,7846,3,64,500000
3,3,1530,1565,2,0,0,3,8,1280,250,2005,0,122044,52.8479,-114.502,1530,1381,1,80,654000
4,4,4190,15724,2,0,2,3,11,4190,0,1994,0,122012,52.7818,-114.286,3300,10113,3,50,1160000
3,3,1540,1251,2,0,0,3,8,1230,310,2002,0,122013,52.8598,-114.511,1540,1287,1,59,650000
3,2,1770,6610,1,0,0,4,7,960,810,1954,0,122038,53.0003,-114.533,2010,4361,3,63,449500
3,1,1700,7700,1,0,0,3,7,1120,580,1960,0,122056,52.7414,-114.508,1700,8800,1,56,250000
3,2,2000,12669,1,0,3,4,7,1200,800,1965,0,122069,52.5879,-114.636,1580,12055,1,60,367000
5,2,2550,6300,1,0,0,4,7,1560,990,1959,0,122053,52.7314,-114.362,1380,6300,2,52,272000
2,1,1460,1716,1,0,0,2,7,1260,200,1925,0,122006,52.9309,-114.507,1580,6380,2,62,312000
1,1,460,4120,1,0,0,3,4,460,0,1937,0,122042,52.7168,-114.389,990,4120,3,67,247000
3,2,1690,4000,2,0,0,3,7,1690,0,2004,0,122045,52.9088,-114.224,1690,4000,1,73,452000
4,4,4910,9444,2,0,0,3,11,3110,1800,2007,0,122019,52.8802,-114.256,4560,11063,2,52,1220000
2,1,1510,11165,2,0,0,4,7,1510,0,1921,0,122038,52.9512,-114.521,2210,8851,1,56,549000
4,2,2770,19116,1,0,0,4,8,1600,1170,1961,0,122040,52.5686,-114.509,2730,18429,2,56,318700
4,4,4860,23885,2,0,0,3,12,4860,0,1996,0,122071,52.8472,-114.42,3580,16054,2,65,2950000
4,2,2550,7200,2,0,2,3,7,2550,0,2003,0,122053,52.7093,-114.37,2560,5715,1,65,419500
3,1,1200,9800,1,0,0,4,7,1200,0,1971,0,122021,52.9712,-114.299,1220,10220,2,78,374000
3,2,4930,77536,2,0,0,3,9,3930,1000,1981,0,122021,52.9934,-114.329,2760,7351,2,65,600000
4,2,2750,10159,2,0,0,3,10,2750,0,1991,0,122027,52.7726,-114.325,3160,10159,1,52,812500
4,2,2860,5576,2,0,0,3,8,2860,0,2004,0,122058,52.975,-114.414,2290,10667,3,60,650000
3,2,1790,7485,1,0,0,4,8,1330,460,1979,0,122018,52.5418,-114.53,1970,8097,2,62,263000
4,2,2550,7500,1,0,0,3,8,1750,800,1976,0,122018,52.5465,-114.576,2260,8800,2,58,277500
4,2,2190,4560,2,0,0,5,8,2190,0,1910,0,122028,52.892,-114.519,2190,4560,2,54,980000
3,2,1710,3469,2,0,0,3,8,1710,0,1999,0,122011,52.776,-114.201,2120,3560,3,52,524250
3,2,1560,6000,1,0,0,3,6,780,780,1944,0,122032,52.8801,-114.574,1560,1734,1,60,525000
3,2,1730,5799,2,0,0,4,7,1730,0,1987,0,122065,52.5799,-114.367,1710,6490,1,62,275000
4,2,2510,4090,2,0,0,3,8,1840,670,2012,0,122055,52.9645,-114.157,2070,4090,3,59,410000
4,2,2070,10800,2,0,0,3,7,2070,0,1982,0,122017,52.9564,-114.427,1880,10800,3,64,400000
4,2,2961,12146,2,0,0,3,9,2961,0,1998,0,122020,52.8139,-114.242,2620,17749,1,53,695000
4,3,1960,5562,1,0,0,5,7,1050,910,1965,0,122016,52.7508,-114.583,1360,5000,2,57,604000
5,3,4180,49222,2,0,0,4,8,2880,1300,1979,0,122012,52.7788,-114.284,3170,8029,1,76,869000
3,2,1170,8148,1,0,0,3,7,1170,0,1952,0,122014,52.9779,-114.508,1200,8147,3,73,265000
3,1,1270,8000,1,0,0,4,6,1270,0,1959,0,122029,52.8475,-114.308,1210,7875,1,55,475000
4,2,1820,8217,1,0,0,3,7,1120,700,1987,0,122039,52.493,-114.432,1310,8217,1,67,234000
5,3,2260,6508,1,0,0,3,7,1330,930,2003,0,122014,52.9808,-114.512,1940,9450,1,67,451000
3,2,2010,2263,2,0,0,3,8,1340,670,2014,0,122044,52.8388,-114.501,1500,2670,1,73,749950
4,2,1660,11664,1,0,0,3,6,1010,650,1952,0,122056,52.7243,-114.521,1670,9975,1,50,220000
4,3,3760,8804,2,0,0,3,8,2470,1290,2002,0,122053,52.7461,-114.381,1960,7225,1,67,494500
5,3,3960,321908,2,0,0,4,9,2690,1270,1989,0,122024,52.6284,-114.245,2360,96703,1,56,525000
5,2,1910,5508,1,0,0,3,7,1020,890,1968,0,122038,52.9374,-114.539,1030,7440,3,62,485000
3,2,1413,3600,2,0,0,3,8,1413,0,2011,0,122067,52.6522,-114.383,2150,3869,3,76,286800
4,3,3450,6184,2,0,0,3,9,3450,0,2014,0,122019,52.8372,-114.244,3020,5369,3,59,852880
2,2,3490,88909,1,0,3,3,10,2320,1170,1980,0,122027,52.7762,-114.302,3490,40185,2,64,952000
3,2,2100,67269,1,0,0,4,7,1220,880,1949,0,122058,52.9892,-114.42,1610,15999,3,63,480000
4,3,3080,6731,2,0,3,3,9,3080,0,2003,0,122046,52.6822,-114.308,3080,6731,3,52,550000
2,1,720,7250,1,0,0,3,5,720,0,1943,0,122012,52.7567,-114.222,1760,7250,3,72,330000
4,2,1770,9848,1,0,0,3,8,1370,400,1967,0,122029,52.8508,-114.289,2040,9587,1,60,606150
5,3,3410,9600,1,0,0,4,8,1870,1540,1968,0,122005,52.8658,-114.293,2390,9679,2,62,675000
4,3,3010,15992,2,0,0,3,11,3010,0,1996,0,122020,52.8195,-114.184,3330,12333,2,60,775000
4,4,4330,15335,2,0,0,4,11,3230,1100,1988,0,122057,52.7615,-114.421,3840,14311,1,80,1700000
3,2,1880,12368,1,0,0,4,7,1260,620,1967,0,122049,52.8201,-114.357,1950,11551,3,65,565000
3,3,2090,7440,2,0,0,5,7,1290,800,1922,0,122028,52.9191,-114.521,1570,4960,1,62,700000
3,2,1040,5650,1,0,0,5,6,1040,0,1951,0,122063,52.7411,-114.446,1290,5650,1,75,258000
2,2,1550,6000,1,0,1,3,7,1550,0,1920,0,122032,52.9012,-114.599,2360,6000,1,51,805000
3,2,3560,11448,2,0,0,3,11,3560,0,1997,0,122005,52.9426,-114.294,3290,11506,1,78,843500
3,1,1280,2580,2,0,0,3,8,1280,0,1910,2014,122006,52.9027,-114.51,1410,3150,2,76,478000
3,2,1800,10200,1,0,0,3,8,1800,0,1967,0,122046,52.6796,-114.336,2140,10128,3,77,442500
4,2,1740,7700,1,0,0,5,7,1740,0,1968,0,122029,52.8559,-114.301,1740,8120,3,59,600000
2,1,840,10465,1,0,0,3,6,840,0,1951,0,122014,52.985,-114.507,1320,8515,2,75,295000
3,3,2200,14925,1,0,0,3,6,1100,1100,1982,0,122045,52.8906,-114.249,1520,14212,1,72,432000
3,2,1480,1590,2,0,0,3,8,1150,330,2010,0,122034,52.7602,-114.552,1480,5761,1,56,315000
1,1,1140,6700,2,0,0,3,7,1140,0,1920,0,122028,52.9258,-114.547,1350,6700,3,67,540000
3,1,940,6695,1,0,0,4,6,940,0,1959,0,122029,52.8495,-114.31,1230,7400,2,67,358000
3,2,2170,9900,1,0,0,3,7,1690,480,1980,0,122024,52.5934,-114.221,1420,10614,3,50,242050
2,2,1068,1758,2,0,0,3,7,1068,0,1990,0,122058,52.9827,-114.434,1078,1315,1,56,243000
4,2,2690,9551,2,0,0,3,9,2690,0,1992,0,122046,52.6643,-114.346,2890,9121,2,63,439000
4,2,2740,8120,2,0,0,3,9,2740,0,1999,0,122019,52.8423,-114.196,2780,8344,3,80,690000
5,3,1970,5400,1,0,0,3,7,1320,650,1986,0,122054,52.8168,-114.498,1280,2150,3,67,399950
3,2,2680,28243,2,0,0,3,9,2680,0,1993,0,122037,52.9937,-114.24,2670,32130,1,76,660000
5,1,1870,7800,1,0,0,3,7,1580,290,1962,0,122056,52.7427,-114.511,1740,7808,2,71,262000
3,2,1870,5909,1,0,0,3,7,1270,600,1986,0,122065,52.5965,-114.373,1870,7887,1,79,259000
2,2,1680,975,3,0,0,3,9,1680,0,2009,0,122003,52.8621,-114.551,1680,977,3,64,840000
5,2,2480,12614,1,0,0,4,8,1860,620,1979,0,122017,52.9693,-114.39,2470,12392,3,58,585000
6,3,2180,7956,2,0,0,3,7,2180,0,1980,0,122040,52.5354,-114.495,2214,7684,2,72,235000
4,2,3480,12696,1,0,0,4,9,1980,1500,1977,0,122035,52.6116,-114.343,3480,14175,3,66,490000
3,1,1260,5000,1,0,0,4,6,1260,0,1968,0,122041,52.8792,-114.105,1180,7500,3,56,300000
3,4,1240,1666,2,0,0,3,7,1000,240,2008,0,122016,52.7796,-114.578,1110,1027,3,65,402000
4,2,1530,2248,2,0,0,3,7,1530,0,1914,0,122054,52.8066,-114.499,1340,3700,2,52,350000
4,3,2490,17833,2,0,2,3,9,1490,1000,1979,0,122022,52.9506,-114.474,2640,16943,3,51,740000
5,2,3050,8200,1,0,4,4,8,1650,1400,1962,0,122027,52.7947,-114.345,2970,8792,1,71,1030000
5,4,5470,35071,2,0,0,3,11,4590,880,1976,0,122049,52.8668,-114.349,3600,35074,1,50,975000
2,1,950,7954,1,0,0,4,7,950,0,1941,0,122059,52.787,-114.496,1180,6828,2,55,339000
3,2,2720,40813,2,0,0,3,8,2720,0,2001,0,122039,52.4919,-114.461,2250,40511,1,76,460000
4,3,2440,5080,2,0,0,3,8,1750,690,1960,0,122064,52.7847,-114.569,1920,6375,1,54,525000
4,3,2590,7213,2,0,0,3,8,2590,0,2001,0,122039,52.4909,-114.479,2550,6800,3,64,355000
6,2,2800,10490,1,0,0,3,7,1400,1400,1968,0,122050,53.0035,-114.568,2290,8716,3,76,442500
4,2,3010,7953,2,0,0,3,9,3010,0,2000,0,122053,52.752,-114.38,2670,6202,1,58,600000
3,2,1880,5000,2,0,0,3,7,1880,0,2010,0,122035,52.5659,-114.244,2260,5000,3,70,261950
5,2,2240,9652,2,0,0,3,7,2240,0,1990,0,122042,52.6549,-114.401,2180,11644,1,70,238000
4,2,2160,7826,1,0,0,4,7,1390,770,1976,0,122014,53.0054,-114.466,2190,9900,2,60,440000
3,2,2050,11313,1,0,0,3,7,1520,530,1987,0,122018,52.5137,-114.548,1620,8065,3,66,252000
4,2,2120,11479,1,0,0,4,7,1060,1060,1940,0,122022,52.9384,-114.493,1540,11000,2,76,489000
3,2,1600,6120,2,0,0,3,7,1600,0,1924,0,122006,52.9147,-114.481,1670,4590,3,52,525000
3,1,1050,7560,1,0,0,3,7,1050,0,1951,0,122064,52.755,-114.561,1490,7560,3,71,333000
2,1,1210,17389,1,0,0,4,5,1210,0,1948,0,122015,52.7344,-114.338,2140,14419,3,54,259000
2,1,800,6016,1,0,0,3,6,800,0,1942,0,122007,52.9213,-114.559,1470,3734,2,70,405000
2,2,1610,2040,2,0,0,4,7,1610,0,1979,0,122053,52.748,-114.384,1950,2025,2,64,215000
3,2,2370,9750,1,0,0,4,7,1280,1090,1979,0,122025,52.6759,-113.963,1230,9775,3,73,355000
3,2,2520,7975,2,0,0,4,9,1550,970,1990,0,122010,52.9004,-114.373,2520,9900,3,71,825000
2,1,1430,3000,2,0,0,3,7,1300,130,1929,0,122047,52.8715,-114.493,1750,4000,1,69,620000
3,1,1140,4560,1,0,0,4,6,770,370,1944,0,122007,52.9189,-114.552,1340,3980,2,64,474000
4,1,1660,4704,2,0,0,3,7,1260,400,1930,0,122006,52.9218,-114.51,1360,5413,1,65,548800
4,2,1720,7560,1,0,0,3,7,1720,0,1959,0,122039,52.5145,-114.44,1750,7988,1,76,206000
2,2,1350,3900,1,0,0,3,8,1350,0,2003,0,122045,52.9394,-114.22,1440,3900,1,80,428000
6,4,2930,14980,2,0,3,3,9,2930,0,2013,0,122027,52.7741,-114.307,3210,10787,3,51,915000
3,2,2320,32772,2,0,0,3,9,2320,0,1992,0,122045,52.8604,-114.178,2610,33305,2,65,630000
4,3,2680,16934,1,0,0,4,7,1340,1340,1958,0,122034,52.772,-114.554,1240,7000,2,77,445000
4,4,5050,202554,2,0,0,3,10,3260,1790,2000,0,122012,52.7569,-114.112,3370,213444,1,78,1340000
4,4,3890,5906,2,0,3,3,11,3060,830,2004,0,122011,52.7726,-114.185,4170,6052,3,73,970000
3,2,2190,11394,1,0,0,3,8,1550,640,1956,0,122032,52.8985,-114.599,2190,9540,3,66,1290000
3,2,2393,4788,2,0,0,3,8,2393,0,2012,0,122042,52.6817,-114.394,2439,5477,1,80,400000
3,2,2420,7307,2,0,0,3,7,2420,0,1998,0,122008,52.7661,-114.061,2420,5577,1,76,482000
2,2,2510,19141,2,0,0,3,9,2510,0,1977,0,122023,52.5403,-114.389,2400,13030,2,66,368500
3,2,3280,8400,1,0,0,3,10,1680,1600,1970,0,122006,52.9248,-114.476,1550,6300,2,80,1080000
4,3,2010,7000,2,0,0,5,8,2010,0,1901,0,122032,52.8907,-114.586,1420,4400,3,73,774000
6,2,2230,10080,1,0,0,3,7,1390,840,1969,0,122033,52.9389,-114.391,2110,8475,2,64,360000
2,1,1060,5703,1,0,2,4,6,1060,0,1946,0,122043,52.5744,-114.517,2240,4416,3,54,325000
3,2,1040,2643,2,0,0,3,7,720,320,2004,0,122051,52.7465,-114.458,1540,5110,1,64,210000
3,2,2000,1950,3,0,0,3,8,2000,0,2005,0,122061,52.8776,-114.546,1560,1340,1,66,755000
3,2,1320,9750,1,0,0,3,7,1320,0,1954,0,122060,52.6567,-114.521,1530,9750,3,65,260000
3,2,3000,21883,2,0,0,3,7,1970,1030,1998,0,122017,52.9899,-114.404,2280,14025,3,58,490500
4,3,3340,10890,2,0,0,3,9,2240,1100,1963,2000,122005,52.8977,-114.326,2880,9794,3,77,910000
3,2,1270,8100,1,0,0,3,6,880,390,1950,0,122052,52.7128,-114.534,1650,8173,3,79,346000
3,2,1350,155073,1,0,0,4,7,1350,0,1969,0,122024,52.6358,-114.184,1560,50965,3,73,385000
2,1,1310,7128,1,0,0,4,7,940,370,1980,0,122067,52.6258,-114.379,1400,7161,3,64,253000
4,2,2970,5400,2,0,0,4,9,2970,0,1900,0,122047,52.8535,-114.499,2500,5040,2,80,1260000
2,2,1440,213008,2,0,0,4,7,1440,0,1990,0,122069,52.5904,-114.647,1630,161172,1,76,430000
5,3,3230,5000,2,0,1,3,9,2350,880,2002,0,122016,52.7502,-114.583,1520,5000,1,55,815000
4,4,3880,9979,2,0,0,3,10,3880,0,2007,0,122011,52.7708,-114.182,3130,6112,2,62,1060000
3,2,2010,4320,2,0,2,3,9,2010,0,1999,0,122051,52.7453,-114.446,1640,5225,3,51,699000
3,2,1260,3135,1,0,0,4,7,780,480,1944,0,122026,52.8993,-114.561,1540,3025,2,61,499000
4,3,2490,5064,2,0,0,3,7,2490,0,2007,0,122053,52.7439,-114.379,2470,5064,2,63,449400
4,2,2150,9520,2,0,0,4,8,2150,0,1979,0,122005,52.9185,-114.303,2000,9520,2,59,573000
3,2,2770,9136,2,0,0,3,10,2770,0,1991,0,122027,52.7905,-114.305,2890,8442,1,52,860000
3,1,1000,8512,1,0,0,3,6,1000,0,1991,0,122068,52.4451,-114.183,1490,10395,3,65,199000
2,1,2060,8398,1,0,0,3,7,1260,800,1962,0,122056,52.739,-114.514,1690,13495,2,54,270000
3,2,1850,15170,1,0,0,3,7,1850,0,1965,0,122025,52.7291,-113.964,1160,14175,1,53,390000
2,1,820,6400,1,0,0,4,7,820,0,1944,0,122064,52.78,-114.569,1490,6400,2,66,361280
4,2,1890,8362,1,0,0,3,7,1890,0,1966,0,122070,52.6677,-114.469,1600,9257,3,71,312000
5,4,4030,13474,2,0,0,3,11,4030,0,2000,0,122020,52.8112,-114.185,3860,12438,1,76,989000
4,2,1440,4855,2,0,0,4,7,1440,0,1972,0,122054,52.8017,-114.477,1300,4080,3,50,332500
2,2,1550,435600,2,0,0,2,7,1550,0,1972,0,122008,52.7445,-114.043,1600,217800,3,75,330000
4,2,2020,6867,1,0,0,5,8,1010,1010,1942,0,122006,52.93,-114.482,1250,6842,2,55,625000
3,2,2250,7904,2,0,0,3,8,2250,0,1998,0,122039,52.5465,-114.442,2460,8622,1,55,328000
4,4,4370,18361,2,0,0,3,11,4370,0,2001,0,122008,52.774,-114.062,4190,13641,2,71,1150000
2,2,1170,2400,1,0,0,4,7,740,430,1903,0,122028,52.8953,-114.523,1570,3919,1,54,499000
3,2,1770,9000,1,0,0,3,7,1090,680,1954,0,122056,52.7297,-114.516,1520,21141,3,59,286000
3,2,1240,13869,1,0,0,4,7,1240,0,1957,0,122010,52.9219,-114.4,1970,7790,2,53,675000
3,3,2670,5108,2,0,2,3,9,2670,0,2000,0,122008,52.7642,-114.056,2670,6500,3,64,535000
2,1,1000,16524,1,0,0,3,5,1000,0,1913,0,122039,52.5141,-114.445,1350,10208,3,76,115000
3,2,1680,7770,1,0,0,4,7,1680,0,1967,0,122049,52.8328,-114.357,1880,7770,2,60,530000
4,1,1450,8960,1,0,0,3,6,1450,0,1943,0,122052,52.7272,-114.538,1160,7680,3,55,244000
5,3,4860,23723,2,0,2,4,11,3820,1040,1989,0,122057,52.8067,-114.405,4040,13860,3,74,1680000
5,3,2560,12480,1,0,0,3,8,1590,970,2012,0,122014,52.9957,-114.474,2500,17299,1,69,565000
3,2,1790,11393,1,0,0,3,8,1790,0,1978,0,122005,52.8597,-114.289,2290,11894,3,68,493000
6,3,2530,9000,1,0,0,3,6,2530,0,1978,0,122010,52.9016,-114.389,1886,6000,1,67,830000
5,2,1720,5000,2,0,0,3,8,1720,0,1915,0,122028,52.8927,-114.545,1720,5000,3,78,775000
4,2,3700,4500,2,0,0,3,9,3700,0,2007,0,122058,52.9773,-114.42,3050,5047,3,67,650000
4,3,3710,7984,2,0,0,3,9,3710,0,1999,0,122008,52.7652,-114.058,2950,7984,3,77,692500
4,2,3160,6961,2,0,0,3,8,3160,0,2005,0,122019,52.8425,-114.2,3110,5058,2,62,697000
3,2,1340,7912,2,0,0,3,7,1340,0,1955,0,122038,52.9958,-114.529,1480,7940,3,65,313000
3,2,1040,1264,2,0,0,3,9,900,140,2015,0,122054,52.8251,-114.491,1350,3000,2,69,230000
4,2,1580,7800,1,0,0,4,7,1580,0,1959,0,122015,52.711,-114.353,1320,7800,3,59,255000
4,2,2200,8384,1,0,0,3,7,1250,950,1959,0,122014,52.983,-114.507,1750,8384,2,73,425000
3,2,2120,13644,2,0,1,4,9,1420,700,1973,0,122057,52.7874,-114.404,2950,17060,2,57,693000
3,1,1540,37950,1,0,0,4,7,1090,450,1959,0,122039,52.5559,-114.479,1820,24375,2,63,429000
2,2,800,2142,2,0,0,3,7,800,0,2006,0,122054,52.8217,-114.487,1320,2742,2,66,305000
4,2,1780,3600,2,0,0,3,7,1780,0,2006,0,122024,52.5965,-114.207,2020,3802,1,53,296000
5,4,2440,10200,2,0,0,4,7,2440,0,1974,0,122020,52.8114,-114.193,2000,10568,2,80,519950
5,3,3290,14134,1,0,0,3,7,1870,1420,2004,0,122005,52.9008,-114.33,1970,11470,3,62,695000
2,1,960,5096,1,0,0,5,7,960,0,1949,0,122064,52.7614,-114.568,1760,4488,2,64,379500
4,2,2910,7287,2,0,0,3,8,2910,0,1998,0,122008,52.7654,-114.059,2420,6180,2,62,595000
4,2,2000,6000,1,0,3,5,7,1000,1000,1956,0,122061,52.8728,-114.538,2610,4377,2,50,710000
4,1,1860,8505,1,0,0,4,7,1860,0,1955,0,122042,52.6706,-114.384,1560,8505,3,76,265000
2,1,1010,7740,1,0,0,3,6,890,120,1924,0,122034,52.7623,-114.545,1030,6000,2,78,289000
3,2,1560,5000,1,0,0,5,7,1560,0,1961,0,122068,52.4348,-114.189,1400,10489,2,58,265000
3,1,1450,6776,1,0,0,3,7,1450,0,1952,0,122063,52.7356,-114.434,1680,7200,1,70,150000
2,1,1240,6400,1,0,1,4,7,1060,180,1938,0,122064,52.7793,-114.567,1240,6400,2,50,559000
4,3,4890,13402,2,0,0,3,13,4890,0,2004,0,122015,52.7603,-114.321,5790,13539,3,51,1780000
3,1,1100,145490,2,0,0,4,6,1100,0,1915,0,122036,52.7997,-114.088,1100,11610,3,79,465000
4,2,3920,12415,2,0,0,3,10,3920,0,1997,0,122020,52.7958,-114.222,3639,12805,1,68,770000
8,4,3460,4600,2,0,0,3,7,2860,600,1987,0,122004,52.8917,-114.479,2170,3750,3,71,808000
4,3,3770,4103,2,0,0,5,9,2710,1060,1925,0,122061,52.871,-114.539,2560,4160,2,56,1450000
3,2,1230,11413,1,0,0,3,7,990,240,1984,0,122019,52.8621,-114.224,1570,11517,2,56,400000
3,2,1680,5246,1,0,0,3,7,1680,0,2007,0,122008,52.7506,-114.058,2430,6883,1,70,412500
